actual,predicted
label1,label1
label3,label3
label3,label3
label2,label3
label1,label1
label1,label1
label1,label2
label3,label3
label2,label2
label3,label3
label1,label1
label3,label3
label3,label3
label1,label2
label1,label1
label1,label1
label1,label1
label2,label1
label1,label1
label1,label1
label2,label2
label1,label1
label1,label1
label1,label1
label2,label1
label3,label3
label1,label2
label2,label3
label2,label2
label1,label1
label2,label3
label1,label2
label1,label1
label3,label2
label3,label3
label3,label1
label1,label1
label1,label3
label3,label3
label1,label2
label1,label1
label2,label2
label1,label3
label3,label3
label1,label1
label3,label2
label1,label1
label2,label2
label2,label2
label1,label2
label3,label3
label3,label3
label3,label3
label3,label2
label2,label2
label3,label3
label1,label1
label1,label2
label1,label3
label1,label1
label1,label1
label1,label1
label3,label3
label1,label1
label1,label1
label2,label2
label1,label1
label3,label3
label1,label1
label3,label3
label3,label3
label1,label2
label1,label1
label3,label3
label3,label3
label3,label3
label3,label3
label1,label1
label1,label1
label1,label1
label3,label3
label2,label2
label1,label3
label1,label1
label1,label1
label1,label3
label3,label3
label2,label2
label3,label3
label2,label2
label1,label1
label3,label3
label3,label3
label2,label1
label3,label2
label2,label2
label2,label1
label1,label1
label1,label3
label1,label1
label1,label2
label2,label2
label1,label1
label2,label2
label3,label1
label1,label1
label1,label1
label3,label2
label1,label2
label1,label2
label1,label1
label1,label1
label3,label1
label3,label3
label2,label2
label3,label1
label3,label3
label1,label1
label3,label3
label2,label2
label3,label1
label3,label3
label1,label1
label1,label1
label1,label1
label1,label1
label3,label3
label3,label3
label1,label1
label2,label2
label1,label1
label1,label1
label1,label1
label1,label1
label3,label1
label1,label1
label2,label2
label3,label2
label1,label1
label3,label3
label3,label2
label1,label1
label2,label2
label1,label1
label1,label2
label1,label2
label2,label3
label2,label3
label1,label1
label1,label1
label3,label3
label1,label1
label1,label1
label2,label2
label3,label3
label1,label1
label3,label3
label3,label3
label1,label1
label3,label3
label1,label1
label2,label2
label2,label3
label2,label1
label1,label3
label3,label3
label1,label3
label1,label1
label1,label3
label2,label2
label3,label2
label1,label3
label2,label1
label1,label1
label2,label1
label1,label1
label3,label2
label1,label1
label3,label3
label1,label1
label1,label1
label1,label1
label3,label1
label3,label3
label1,label1
label3,label2
label3,label3
label2,label2
label2,label2
label1,label1
label1,label1
label3,label3
label3,label3
label2,label3
label1,label2
label1,label3
label3,label3
label3,label3
label3,label3
label3,label1
